company_name,ticker,naics,gvkey
HUTTIG BUILDING PRODUCTS INC,HBP,423310,5792
HYDRO QUEBEC,4300A,22111,5808
IEC ELECTRONICS CORP,IEC,334412,5831
BBX CAPITAL CORP,BBX,531390,5849
BBX CAPITAL CORP,BBX,531390,5849
ITT INC,ITT,333914,5860
RAYONIER INC,RYN,531190,5862
RAYONIER INC,RYN,531190,5862
IDACORP INC,IDA,22111,5870
ILLINOIS TOOL WORKS,ITW,33399,5878
TELIGENT INC,TLGT,325412,5888
IMMUNOMEDICS INC,IMMU,325413,5902
IMPERIAL OIL LTD,IMO,324110,5903
INDIANA MICHIGAN POWER CO,AEP2,22111,5914
IEH CORP,IEHC,334417,5932
INGERSOLL-RAND PLC,IR,333415,5959
RYERSON HOLDING CORP,RYI,423510,5968
AEGION CORP,AEGN,237110,5978
GRIFFON CORP,GFF,332321,5987
INTEGRATED DEVICE TECH INC,IDTI,334413,6003
INTEL CORP,INTC,334413,6008
INTELLIGENT SYSTEM CORP,INS,511210,6013
INRAD OPTICS INC,INRD,334419,6021
INTERDYNE CO,ITDN,999990,6033
INTERFACE INC,TILE,314110,6034
INTL BUSINESS MACHINES CORP,IBM,519130,6066
INTL FLAVORS & FRAGRANCES,IFF,325199,6078
NAVISTAR INTERNATIONAL CORP,NAV,336120,6081
INTERDIGITAL INC,IDCC,533110,6100
INTL PAPER CO,IP,322130,6104
INTL SPEEDWAY CORP  -CL A,ISCA,711212,6116
ENBRIDGE INC,ENB,221210,6135
INTERPUBLIC GROUP OF COS,IPG,541810,6136
INVACARE CORP,IVC,339113,6158
IPALCO ENTERPRISES INC,AES4,22111,6178
ISRAMCO INC,ISRL,211120,6194
ANIXTER INTL INC,AXE,423690,6196
JACOBS ENGINEERING GROUP INC,JEC,236210,6216
EMCOR GROUP INC,EME,238210,6223
SCULLY ROYALTY LTD,SRL,523110,6233
JEFFERIES GROUP LLC,LUK2,523110,6239
JEFFERIES GROUP LLC,LUK2,523110,6239
JERSEY CENTRAL POWER & LIGHT,GPU3,22111,6253
JOHNSON & JOHNSON,JNJ,325412,6266
JOHNSON CONTROLS INTL PLC,JCI,333415,6268
KLA CORP,KLAC,333314,6304
SEARS HOLDINGS CORP,SHLDQ,452111,6307
KINDER MORGAN INC,KMI,486210,6310
PRIMEENERGY RESOURCES CORP,PNRG,211120,6311
KAMAN CORP,KAMN,423840,6326
KANSAS CITY LIFE INS CO,KCLI,524113,6333
KANSAS CITY LIFE INS CO,KCLI,524113,6333
KANSAS CITY SOUTHERN,KSU,482111,6335
EVERGY INC,EVRG,22111,6338
KELLOGG CO,K,311230,6375
KELLY SERVICES INC  -CL A,KELYA,561320,6379
KENNAMETAL INC,KMT,333517,6386
KENTUCKY POWER,AEP4,22111,6397
KEWAUNEE SCIENTIFIC CORP,KEQU,339113,6410
KEY TRONIC CORP,KTCC,334418,6416
KIMBALL INTERNATIONAL  -CL B,KBAL,337211,6433
KIMBERLY-CLARK CORP,KMB,322121,6435
KIRBY CORP,KEX,483211,6461
KOMATSU LTD,KMTUY,333120,6494
KOSS CORP,KOSS,334310,6497
KROGER CO,KR,445110,6502
